Spectrum Name:						
Description:						
Student ID:						
Detector Used:						
Comments:						
Acquisition Mode:	PHA Direct In					
High Voltage:	0					
Conversion Gain:	1024					
Coarse Gain:	4					
Fine Gain:	1.45					
Upper Discriminator:	1					
Lower Discriminator:	0					
Calibration Coefficients:	0.098675676	0.001432432				
Calibration Channels:	750	861				
Calibration Energies:	1.173	1.332				
Elapsed Real Time:	386.24					
Elapsed Live Time:	300					
Start Time:	"noviembre 14, 2024, 05:01:11"					
End Time:	"noviembre 14, 2024, 05:07:37"					
ROIs:						
ROI:	Low	High	Gross	Net	FWHM	Centroid
						
1	431	663	31021	-20939	3	0
2	196	244	2228493	319941	27	0
3	34	58	1260246	188138	16	0
						
Channel Data:						
Channel	Energy	Counts				
338	0.582837838	921				
339	0.58427027	897				
340	0.585702703	877				
341	0.587135135	851				
342	0.588567568	794				
343	0.59	723				
344	0.591432432	694				
345	0.592864865	749				
346	0.594297297	703				
347	0.59572973	613				
348	0.597162162	613				
349	0.598594595	541				
350	0.600027027	576				
351	0.601459459	608				
352	0.602891892	571				
353	0.604324324	557				
354	0.605756757	515				
355	0.607189189	497				
356	0.608621622	500				
357	0.610054054	560				
358	0.611486486	522				
359	0.612918919	466				
360	0.614351351	490				
361	0.615783784	469				
362	0.617216216	457				
363	0.618648649	478				
364	0.620081081	454				
365	0.621513514	427				
366	0.622945946	436				
367	0.624378378	483				
368	0.625810811	418				
369	0.627243243	397				
370	0.628675676	443				
371	0.630108108	390				
372	0.631540541	418				
373	0.632972973	436				
374	0.634405405	422				
375	0.635837838	461				
376	0.63727027	431				
377	0.638702703	454				
378	0.640135135	427				
379	0.641567568	447				
380	0.643	430				
381	0.644432432	436				
382	0.645864865	424				
383	0.647297297	422				
384	0.64872973	424				
385	0.650162162	458				
386	0.651594595	404				
387	0.653027027	456				
388	0.654459459	427				
389	0.655891892	415				
390	0.657324324	451				
391	0.658756757	433				
392	0.660189189	434				
393	0.661621622	401				
394	0.663054054	444				
395	0.664486486	398				
396	0.665918919	394				
397	0.667351351	411				
398	0.668783784	428				
399	0.670216216	443				
400	0.671648649	424				
401	0.673081081	440				
402	0.674513514	446				
403	0.675945946	454				
404	0.677378378	391				
405	0.678810811	422				
406	0.680243243	423				
407	0.681675676	428				
408	0.683108108	423				
409	0.684540541	452				
410	0.685972973	479				
411	0.687405405	421				
412	0.688837838	427				
413	0.69027027	432				
414	0.691702703	435				
415	0.693135135	458				
416	0.694567568	395				
417	0.696	449				
418	0.697432432	424				
419	0.698864865	422				
420	0.700297297	470				
421	0.70172973	438				
422	0.703162162	454				
423	0.704594595	420				
424	0.706027027	404				
425	0.707459459	454				
426	0.708891892	439				
427	0.710324324	462				
428	0.711756757	447				
429	0.713189189	471				
430	0.714621622	464				
431	0.716054054	411				
432	0.717486486	453				
433	0.718918919	382				
434	0.720351351	434				
435	0.721783784	406				
436	0.723216216	400				
437	0.724648649	440				
438	0.726081081	469				
439	0.727513514	426				
440	0.728945946	402				
441	0.730378378	416				
442	0.731810811	400				
443	0.733243243	407				
444	0.734675676	365				
445	0.736108108	385				
446	0.737540541	428				
447	0.738972973	413				
448	0.740405405	421				
449	0.741837838	397				
450	0.74327027	367				
451	0.744702703	348				
452	0.746135135	403				
453	0.747567568	442				
454	0.749	401				
455	0.750432432	385				
456	0.751864865	376				
457	0.753297297	389				
458	0.75472973	371				
459	0.756162162	411				
460	0.757594595	339				
461	0.759027027	370				
462	0.760459459	379				
463	0.761891892	376				
464	0.763324324	370				
465	0.764756757	385				
466	0.766189189	357				
467	0.767621622	369				
468	0.769054054	360				
469	0.770486486	372				
470	0.771918919	382				
471	0.773351351	333				
472	0.774783784	350				
473	0.776216216	315				
474	0.777648649	322				
475	0.779081081	351				
476	0.780513514	277				
477	0.781945946	334				
478	0.783378378	325				
479	0.784810811	333				
480	0.786243243	331				
481	0.787675676	259				
482	0.789108108	252				
483	0.790540541	296				
484	0.791972973	278				
485	0.793405405	277				
486	0.794837838	264				
487	0.79627027	267				
488	0.797702703	284				
489	0.799135135	306				
490	0.800567568	250				
491	0.802	286				
492	0.803432432	229				
493	0.804864865	262				
494	0.806297297	238				
495	0.80772973	237				
496	0.809162162	242				
497	0.810594595	230				
498	0.812027027	215				
499	0.813459459	221				
500	0.814891892	194				
501	0.816324324	194				
502	0.817756757	198				
503	0.819189189	170				
504	0.820621622	184				
505	0.822054054	168				
506	0.823486486	184				
507	0.824918919	183				
508	0.826351351	152				
509	0.827783784	143				
510	0.829216216	144				
511	0.830648649	163				
512	0.832081081	145				
513	0.833513514	165				
514	0.834945946	141				
515	0.836378378	147				
516	0.837810811	135				
517	0.839243243	116				
518	0.840675676	120				
519	0.842108108	115				
520	0.843540541	127				
521	0.844972973	137				
522	0.846405405	120				
523	0.847837838	114				
